id,name,link,art,description
002,Cloth Config API,https://modrinth.com/mod/cloth-config,https://cdn.modrinth.com/data/9s6osm5g/ed8a2316cbb6f4fc5f510e8e13a59a85cbbbff4d_96.webp,https://cdn.modrinth.com/data/9s6osm5g/ed8a2316cbb6f4fc5f510e8e13a59a85cbbbff4d_96.webp,Configuration Library for Minecraft Mods
003,Entity Culling,https://modrinth.com/mod/entityculling,https://cdn.modrinth.com/data/NNAgCjsB/7873452d6cede4daed12da3d7d8c193ab88b4fd6_96.webp,Using async path-tracing to hide Block-/Entities that are not visible
004,FerriteCore,https://modrinth.com/mod/ferrite-core,https://cdn.modrinth.com/data/uXXizFIs/222a126f26f8f9ae1eb339f3b767677f18bff31f_96.webp,Memory usage optimizations
005,ImmediatelyFast,https://modrinth.com/mod/immediatelyfast,https://cdn.modrinth.com/data/5ZwdcRci/e57b6b451425692ac17ad322d5e14bea686a383a_96.webp,Speed up immediate mode rendering in Minecraft
006,YetAnotherConfigLib (YACL),https://modrinth.com/mod/yacl,https://cdn.modrinth.com/data/1eAoo2KR/08c0cd32515e260f4bb20bbc0696510041523f9a_96.webp,A builder-based configuration library for Minecraft.
007,Architectury API,https://modrinth.com/mod/architectury-api,https://cdn.modrinth.com/data/lhGA9TYQ/05fe3a61c28faaccaec3533b92e1b321edde7bf6_96.webp,An intermediary api aimed to ease developing multiplatform mods.
008,Xaero's Minimap,https://modrinth.com/mod/xaeros-minimap,https://cdn.modrinth.com/data/1bokaNcj/354080f65407e49f486fcf9c4580e82c45ae63b8_96.webp,"Displays a map of the nearby world terrain, players, mobs, entities in the corner of your screen. Lets you create waypoints which help you find the locations you've marked."
009,[ETF] Entity Texture Features,https://modrinth.com/mod/entitytexturefeatures,https://cdn.modrinth.com/data/BVzZfTc1/af683d206d50b05258d865b0d6e4aa2f2cee12f2_96.webp,"Emissive, Random & Custom texture support for entities in resourcepacks just like Optifine but for Fabric"
010,ModernFix,https://modrinth.com/mod/modernfix,https://cdn.modrinth.com/data/nmDcB62a/2af94de5e08ae54567ee86b968fc7ce076d9fee5_96.webp,"All-in-one mod that improves performance, reduces memory usage, and fixes many bugs. Compatible with all your favorite performance mods!"
011,AppleSkin,https://modrinth.com/mod/appleskin,https://cdn.modrinth.com/data/EsAfCjCV/icon.png,Food/hunger-related HUD improvements
012,[EMF] Entity Model Features,https://modrinth.com/mod/entity-model-features,https://cdn.modrinth.com/data/4I1XuqiY/6e5bbd0d06b1741bfdab6c0cfab6de8fdaf0064c_96.webp,"EMF is an, OptiFine format, Custom Entity Model replacement mod available for Fabric and Forge."
013,Xaero's World Map,https://modrinth.com/mod/xaeros-world-map,https://cdn.modrinth.com/data/NcUtCpym/354080f65407e49f486fcf9c4580e82c45ae63b8_96.webp,Adds a full screen world map which shows you what you have explored in the world. Works great together with Xaero's Minimap.
014,Not Enough Animations,https://modrinth.com/mod/not-enough-animations,https://cdn.modrinth.com/data/MPCX6s5C/b97fd5f7a893165052408b747286d6eb38d57abb_96.webp,Bringing first-person animations to the third-person
015,Continuity,https://modrinth.com/mod/continuity,https://cdn.modrinth.com/data/1IjD5062/icon.png,A Minecraft mod that allows for efficient connected textures
016,Dynamic FPS,https://modrinth.com/mod/dynamic-fps,https://cdn.modrinth.com/data/LQ3K71Q1/5056368d0d87c1a9f3efead0cb48ab39a4ea87bf_96.webp,"Reduce resource usage while Minecraft is in the background, idle, or on battery."
017,Collective,https://modrinth.com/mod/collective,https://cdn.modrinth.com/data/e0M1UDsY/f5e4fe9ac298e2c14591920d6bda937c566accd0_96.webp,🎓 Collective is a shared library with common code for all of Serilum's mods.
018,3D Skin Layers,https://modrinth.com/mod/3dskinlayers,https://cdn.modrinth.com/data/zV5r3pPn/ff7010d4ec0275609866c8b0f603b25e25949c08_96.webp,Render the player skin layer in 3d!
019,No Chat Reports,https://modrinth.com/mod/no-chat-reports,https://cdn.modrinth.com/data/qQyHxfxd/icon.png,Makes chat unreportable (where possible)
020,Simple Voice Chat,https://modrinth.com/plugin/simple-voice-chat,https://cdn.modrinth.com/data/9eGKb6K1/icon.png,A working voice chat in Minecraft!
021,Memory Leak Fix,https://modrinth.com/mod/memoryleakfix,https://cdn.modrinth.com/data/NRjRiSSD/a279c19f9c3574339fa90f675aa8a94f8f6cff92_96.webp,A mod that fixes random memory leaks for both the client and server
022,Jade 🔍,https://modrinth.com/mod/jade,https://cdn.modrinth.com/data/nvQzSEkH/b04217bc2b7dc524c4d12f81ff42cc1cefb9b0fc_96.webp,Shows information about what you are looking at. (Hwyla/Waila fork for Minecraft 1.16+)
023,Balm,https://modrinth.com/mod/balm,https://cdn.modrinth.com/data/MBAkmtvl/285b7bcfd6e525c043e640b08f3efc0cde90f7dd_96.webp,Abstraction Layer for Multiplatform Mods
